intent,question,answer,related link
,Is it compulsory to stay in UTP?,"UTP is gazetted as Fully Residential campus and all Foundation and Undergraduate students are bound to the Compulsory Stay on Campus mandate, which requires them to stay on campus throughout their official study period in UTP (except during internship).",
,Can I bring car to UTP?,"All Foundation students are not allowed to bring their own car to campus. Other methods of transportation, such as bicycles or e-scooters are allowed. The university provides regularly scheduled shuttle bus to assist the Foundation students� movements around the campus. For Undergraduates, any personal transport vehicle is allowed.",
,How to make report?,"Please log in UCS: https://ucs.utp.edu.my and provide necessary details: name, student ID, contact number, complete info of location (e.g. V5-A-00-00-01, V3-A-02 toilet). Our UCS personnel will take up the case and cascade further actions accordingly.",https://ucs.utp.edu.my/
,No update after UCS report?,"Due to the nature of UCS system processes, it will take some time from the point of case creation to the arrival into our case queue. In short, all UCS cases are bound by the maximum 5-day Service-Level Agreement (SLA).",
,I lost/misplaced my room key,"If during office hours, please approach the respective village offices. If it is already beyond office hours, please call RV Hotline at 011-21542918 (daily until 11pm only) and communicate with our officers on standby.",
,Emergency number?,05-3688315 (Security Emergency Contact).,
,Credit note adjustment?,"1. In essence, credit note adjustments for accommodation invoices are given only when there is an error in the amount charged to our students.",
,,2. No credit note adjustments will be given if a student did not stay in their room after they have registered and acquired room key or personally choose to vacate earlier before the end of their supposed tenure.,
,,"3. Approved credit note adjustments will take approximately 2-3 weeks to process. A new invoice with adjusted amount will not be generated, therefore you can only check for it in the student statement.",
,Latest hostel joining instruction,You can check for the latest Joining Instruction for Hostel in our shared Public Document Library here:,https://utpmy.sharepoint.com/sites/ResidentialVillageCloud/RV%20Public%20Documents/Forms/AllItems.aspx
,Where to check hostel fees?,"You can log in to UCampus and look for your student statement. All financial transactions under your student ID should be available there. For more info, please contact UTP Finance Dept.",
,Further clarification,log a UCS to RM and specify your issue properly. Our officers will entertain you soon.,
,What does RV Management communicate with residents?,"Communication includes matters related to application, payment, maintenance, cleaning schedule, stay extension, and more.",
,Where will official announcements be sent?,Important information will be sent via student email. Residents must check and respond accordingly.,
,What happens if I don�t read the emails from RV Management?,RV Management is not responsible for issues caused by failure to read their emails.,
,Will RV Management contact me by phone?,"Yes, for emergencies. Residents must provide correct contact details and next-of-kin information on UCampus.",
,Where can I get updates on activities and events?,Mainly via social media and official briefings.,
,What behaviour is expected from residents?,Residents must behave in a manner that upholds the University's reputation and avoid actions that could endanger others or cause damage.,
,When do I need to pay my hostel rental?,Before the end of the semester together with tuition fees.,
,What does the rental include?,"Water, electricity, and wide internet coverage. Residents should use utilities prudently.",
,"If I stay in the same room next semester, do I pay for semester break?",Yes.,
,Can RV Management change the rental rate?,"Yes, with advance notice.",
,Who is required to stay on campus?,All Foundation and Undergraduate students.,
,How do I apply to stay off-campus?,Email Senior Director of Centre for Student Experience with strong justification.,
,Can I move off-campus without approval?,"No. Written approval from DVCSA is required. Otherwise, rental will still be charged.",
,When is check-in?,RV Management will inform via email.,
,What if I need to check in at a different time?,Submit a request through UCS in advance.,
,Should I confirm readiness of the room before check-in?,"Yes, residents are strongly advised to confirm with RV Management.",
,When must I check out?,On the specified check-out date.,
,What if I leave items after check-out?,RV Management may remove belongings and is not responsible for loss/damage.,
,Is temporary storage available?,"Yes, through Residential College Support Unit (RCSU).",
,Do I need to check out if I stay in the same room next semester?,No.,
,What items must I clear during check-out?,"Everything from room, pantry, kitchen cabinet, refrigerator, walkway, shoe rack, toilet, and balcony.",
,Can I defer my check-out date?,"Yes, but must discuss with RV Management one month earlier.",
,What happens if I return the key late?,RM200 penalty.,
,Do I need to clean my room before check-out?,Yes. A penalty of RM250 will be imposed if found dirty.,
,Can I lend my hostel key?,"No. Lending, duplicating, or changing padlocks incurs RM200 penalty.",
,What if I lose my key?,Report immediately; RM50 will be charged per missing key.,
,Who cleans the common areas?,"RV Management, but residents must keep unit, room, and surroundings clean.",
,Must I keep common areas clean?,"Yes, includes toilets, hall, balcony, pantry.",
,How often management dispose of garbage?,Daily except Sunday; especially food waste.,
,"Must I switch off AC, lights, and appliances when not in room?",Yes. Penalties may apply.,
,Can I move hostel furniture?,No; penalties apply if moved without consent.,
,What if hostel property is damaged?,Report immediately; residents will be charged for damage/loss.,
,What happens if my housekeeping is unacceptable?,"Residents must fix it; otherwise, cleaning charges + RM250 penalty apply.",
,Must I label my food?,Yes. Unlabelled food/items will be discarded.,
,Who cleans the refrigerator interior?,Residents.,
,Can maintenance enter my room?,"Yes, with notice, for duty purposes. Respect for privacy will be maintained.",
,Can I put nails or tapes on the wall?,"No nails, screws, heavy-duty/double-sided tapes, posters, or pictures allowed.",
,Can I burn candles or mosquito coils?,Allowed but residents must be cautious.,
,Can I touch fire safety equipment?,"No, unless in emergencies. Minimum fine RM300.",
,Who is responsible for locking doors?,Residents must lock doors at all times.,
,Is RV responsible for lost items or injuries?,No. Residents are responsible for their own safety and belongings.,
,Can I change rooms?,Not without RV Management approval.,
,What if a roommate is missing for more than 48 hours?,Report to RV Management immediately.,
,Are strangers allowed inside hostel units?,No. Do not entertain strangers.,
,What are quiet hours?,10.00 PM � 8.00 AM.,
,How do I report maintenance issues?,Lodge a UCS report for faulty equipment or leakages.,
,How long will repairs take?,Up to 5 working days; structural replacements may take longer.,
,Must I be present during maintenance?,"Recommended. If absent, maintenance will proceed.",
,Is cooking allowed?,Strictly no. Cooking in rooms/units results in RM300 fine.,
,Can I store non-halal food?,No. Only halal food is allowed out of respect for Muslim housemates.,
,Must I wash dishes?,"Yes, dishes and cutlery must be kept clean and stored neatly.",
,Can I keep expired food?,No. Residents must ensure no leftover or expired food is stored.,
,What happens during fire/explosion or unavoidable accidents?,RV may evacuate residents and is not liable for claims. Replacement accommodation will be provided.,
,Where can guests visit?,At common areas only.,
,Can visitors enter resident rooms?,Not without RV Management consent.,
,Can opposite-gender guests enter hostel units?,Strictly no. Disciplinary action will be taken.,
,Are pets allowed?,No. Pets must be removed; RM300 fine applies.,
,What electrical appliances can I bring?,"Only safe, domestic-use appliances with proper wiring and fuses.",
,Can I run cables across the floor?,No.,
,Can one plug power multiple appliances?,No. One plug = one equipment.,
,What is the maximum load for a wall socket?,13 amps.,
,Are portable air-conditioners allowed?,No.,
,What happens if prohibited items are found?,Actions may include a fine of RM300.,
,Who pays for damage to common facilities?,All residents of the affected floor share the cost.,
,Are students responsible for hostel cleanliness and orderliness?,Yes.,
,What activities are prohibited in the hostel?,"Any immoral, vulgar, indecent, improper, or unnatural behavior.",
,Walking guide,Refer to attachment,https://www.utp.edu.my/PublishingImages/Pages/Students/Student%20Development%20and%20Services/Accommodations/Map%20with%20Walking%20Distance_Siti%20Nurul%20Ainani%20Ha.jpg
,Where are the mini marts located?,"Village 3, Village 4, and Village 5.",
,Which villages have cafeterias?,"Villages 1, 2, 4, 5, 6, 7 and the Student Center.",
,Which villages have laundry services?,"Villages 1, 2, 3, 4, 5, 6, and 7.",
,Where can I find air-conditioned study spaces?,"Village 1 Transitional Room, Village 3 Center, Village 4 Center, Village 5 RuBel, Village 7 RuBel and NADI@UTP",
,Where is the Pos Malaysia service located?,Village 4 Student Center.,
,Which villages have meeting rooms?,"Villages 1, 3, 5, and 7.",
,What sports facilities are available at the hostels?,"Futsal courts, basketball courts, volleyball courts, and table tennis tables.",
,Where are the futsal courts located?,Village 1 and Village 5.,
,Where is the basketball court located?,Village 5.,
,Where is the volleyball court located?,Village 1.,
,Where can I play table tennis?,"Villages 3, 4, 5, 6, and SIBC.",
